Tx,BW,Interval,Label
54.2,46.6,10.0001,0
58.0,49.9,10.0001,0
57.6,49.5,10.0001,0
54.5,46.9,10.0001,0
54.0,46.3,10.0016,0
57.7,49.5,10.0001,0
57.8,49.7,10.0001,0
57.6,49.4,10.0001,0
57.6,49.5,10.0001,0
58.7,50.4,10.0001,0
58.0,49.8,10.0,0
52.9,45.4,10.0001,0
57.9,49.8,10.0001,0
56.0,48.1,10.0001,0
57.4,49.3,10.0,0
56.3,48.3,10.0001,0
57.6,49.5,10.0003,0
57.8,49.6,10.0001,0
56.7,48.7,10.0001,0
55.2,47.5,10.0,0
57.7,49.6,10.0,0
58.2,50.0,10.0001,0
58.9,50.6,10.0001,0
58.7,50.4,10.0001,0
58.4,50.2,10.0001,0
58.4,50.1,10.0003,0
57.0,49.0,10.0001,0
55.3,47.5,10.0001,0
58.5,50.2,10.0002,0
57.4,49.3,10.0,0
53.3,45.8,10.0,0
56.3,48.4,10.0001,0
56.3,48.4,10.0001,0
58.3,50.0,10.0001,0
56.8,48.8,10.0001,0
55.7,47.9,10.0,0
58.9,50.6,10.0002,0
56.1,48.2,10.0001,0
53.6,46.0,10.0001,0
57.8,49.7,10.0001,0
56.9,48.8,10.0003,0
56.8,48.8,10.0009,0
56.1,48.2,10.0001,0
52.2,44.8,10.0001,0
59.0,50.7,10.0001,0
57.2,49.1,10.0001,0
56.9,48.9,10.0,0
55.8,47.9,10.0002,0
57.4,49.3,10.0001,0
57.9,49.7,10.0001,0
56.6,48.6,10.0,0
58.1,49.9,10.0001,0
57.7,49.6,10.0001,0
58.0,49.8,10.0003,0
53.6,46.0,10.0,0
57.7,49.6,10.0001,0
56.7,48.7,10.0001,0
56.5,48.5,10.0,0
57.7,49.5,10.0,0
58.2,50.0,10.0001,0
57.6,49.5,10.0003,0
58.4,50.1,10.0001,0
58.0,49.8,10.0,0
58.6,50.3,10.0,0
57.4,49.3,10.0001,0
57.4,49.3,10.0,0
58.2,50.0,10.0,0
57.0,49.0,10.0,0
57.7,49.5,10.0001,0
57.3,49.3,10.0,0
55.6,47.8,10.0001,0
58.2,50.0,10.0001,0
57.9,49.8,10.0,0
55.4,47.6,10.0001,0
57.5,49.4,10.0,0
58.2,50.0,10.0001,0
57.7,49.5,10.0001,0
58.2,50.0,10.0001,0
55.7,47.9,10.0001,0
57.2,49.2,10.0001,0
52.4,45.0,10.0005,0
55.6,47.8,10.0001,0
58.0,49.8,10.0,0
57.9,49.7,10.0002,0
54.5,46.9,10.0003,0
58.3,50.1,10.0001,0
57.5,49.4,10.0034,0
57.1,49.1,10.0,0
58.1,49.9,10.0001,0
57.1,49.0,10.0004,0
58.0,49.8,10.0,0
58.9,50.6,10.0001,0
55.5,47.7,10.0,0
57.2,49.2,10.0,0
58.0,49.9,10.0,0
53.0,45.5,10.0001,0
58.6,50.3,10.0001,0
57.6,49.5,10.0001,0
57.1,49.0,10.0001,0
58.2,50.0,10.0,0
55.1,47.3,10.0001,0
57.1,49.1,10.0001,0
57.4,49.3,10.0001,0
52.5,45.1,10.0,0
57.8,49.6,10.0,0
57.3,49.3,10.0001,0
57.1,49.1,10.0,0
57.4,49.3,10.0001,0
58.6,50.3,10.0,0
59.4,51.0,10.0,0
56.9,48.9,10.0001,0
57.3,49.2,10.0,0
57.9,49.7,10.0,0
58.4,50.2,10.0,0
57.5,49.4,10.0,0
56.7,48.7,10.0006,0
58.0,49.9,10.0,0
54.9,47.2,10.0,0
57.8,49.6,10.0001,0
57.0,49.0,10.0003,0
58.3,50.1,10.0001,0
57.8,49.6,10.0001,0
56.2,48.2,10.0,0
58.9,50.6,10.0001,0
54.7,47.0,10.0001,0
54.6,46.9,10.0001,0
57.3,49.2,10.0,0
57.6,49.5,10.0001,0
58.9,50.6,10.0001,0
57.9,49.7,10.0001,0
53.8,46.2,10.0003,0
57.8,49.7,10.0001,0
56.8,48.8,10.0001,0
55.4,47.6,10.0003,0
57.9,49.7,10.0001,0
58.1,49.9,10.0001,0
57.1,49.0,10.0001,0
58.1,49.9,10.0,0
58.1,49.9,10.0,0
58.4,50.2,10.0,0
57.1,49.1,10.0,0
57.6,49.5,10.0001,0
58.1,49.9,10.0,0
56.6,48.6,10.0007,0
59.0,50.7,10.0003,0
57.3,49.2,10.0001,0
57.6,49.4,10.0003,0
57.9,49.8,10.0,0
56.8,48.8,10.0,0
53.7,46.1,10.0001,0
57.3,49.2,10.0,0
58.6,50.4,10.0,0
57.7,49.6,10.0,0
57.0,49.0,10.0003,0
55.8,48.0,10.0001,0
57.9,49.7,10.0,0
57.6,49.5,10.0001,0
54.5,46.8,10.0,0
53.9,46.3,10.0,0
58.3,50.1,10.0001,0
53.8,46.2,10.0001,0
58.8,50.5,10.0001,0
58.4,50.2,10.0001,0
55.5,47.7,10.0001,0
54.4,46.7,10.0001,0
56.6,48.6,10.0001,0
57.2,49.1,10.0,0
56.9,48.9,10.0002,0
54.0,46.4,10.0001,0
58.4,50.1,10.0001,0
57.6,49.5,10.0001,0
57.2,49.1,10.0,0
58.6,50.4,10.0,0
56.6,48.6,10.0001,0
56.8,48.8,10.0001,0
57.3,49.2,10.0001,0
58.1,49.9,10.0,0
56.6,48.6,10.0001,0
58.7,50.4,10.0001,0
57.2,49.2,10.0001,0
56.1,48.2,10.0003,0
56.2,48.2,10.0001,0
57.0,48.9,10.0001,0
57.2,49.2,10.0,0
57.7,49.6,10.0,0
57.8,49.7,10.0001,0
57.5,49.4,10.0,0
57.8,49.6,10.0001,0
59.1,50.8,10.0,0
55.5,47.7,10.0001,0
56.6,48.6,10.0003,0
57.7,49.6,10.0001,0
58.1,49.9,10.0001,0
58.4,50.2,10.0,0
58.4,50.1,10.0,0
54.2,46.6,10.0001,0
55.4,47.6,10.0,0
58.0,49.8,10.0001,0
57.2,49.1,10.0001,0
55.5,47.6,10.0008,0
56.7,48.7,10.0,0
56.5,48.5,10.0001,0
58.9,50.6,10.0001,0
57.6,49.5,10.0001,0
57.5,49.4,10.0,0
56.9,48.9,10.0,0
53.7,46.1,10.0002,0
57.8,49.7,10.0,0
56.9,48.9,10.0,0
57.1,49.0,10.0,0
56.7,48.7,10.0001,0
56.5,48.6,10.0001,0
58.2,50.0,10.0001,0
57.7,49.6,10.0,0
57.2,49.2,10.0,0
56.9,48.9,10.0,0
57.8,49.6,10.0,0
56.8,48.7,10.0001,0
58.0,49.8,10.0001,0
56.9,48.8,10.0,0
58.5,50.2,10.0,0
55.3,47.5,10.0003,0
58.4,50.1,10.0001,0
56.8,48.8,10.0003,0
